,latitude,longitude,so,thetao
2022-06-08 17:00:00,36.520832,-2.458332,37.315495,20.275248
2022-06-08 18:00:00,36.520832,-2.458332,37.318893,20.156866
2022-06-08 19:00:00,36.520832,-2.458332,37.323505,20.057178
2022-06-08 20:00:00,36.520832,-2.458332,37.32913,20.000755
2022-06-08 21:00:00,36.520832,-2.458332,37.335022,19.986326
2022-06-08 22:00:00,36.520832,-2.458332,37.340275,20.00123
2022-06-08 23:00:00,36.520832,-2.458332,37.34432,20.036406
2022-06-09 00:00:00,36.520832,-2.458332,37.359165,20.093473
2022-06-09 01:00:00,36.520832,-2.458332,37.360786,20.141474
2022-06-09 02:00:00,36.520832,-2.458332,37.361557,20.183113
2022-06-09 03:00:00,36.520832,-2.458332,37.36146,20.207226
2022-06-09 04:00:00,36.520832,-2.458332,37.360703,20.205154
2022-06-09 05:00:00,36.520832,-2.458332,37.35977,20.187147
2022-06-09 06:00:00,36.520832,-2.458332,37.359222,20.190878
2022-06-09 07:00:00,36.520832,-2.458332,37.359486,20.24302
2022-06-09 08:00:00,36.520832,-2.458332,37.360043,20.321436
2022-06-09 09:00:00,36.520832,-2.458332,37.35981,20.3705
2022-06-09 10:00:00,36.520832,-2.458332,37.360256,20.423225
2022-06-09 11:00:00,36.520832,-2.458332,37.361088,20.445135
2022-06-09 12:00:00,36.520832,-2.458332,37.362183,20.433119
2022-06-09 13:00:00,36.520832,-2.458332,37.3636,20.407274
2022-06-09 14:00:00,36.520832,-2.458332,37.3658,20.382004
2022-06-09 15:00:00,36.520832,-2.458332,37.369213,20.358717
2022-06-09 16:00:00,36.520832,-2.458332,37.37403,20.3315
2022-06-09 17:00:00,36.520832,-2.458332,37.38053,20.297386
2022-06-09 18:00:00,36.520832,-2.458332,37.38865,20.257542
2022-06-09 19:00:00,36.520832,-2.458332,37.397522,20.21733
2022-06-09 20:00:00,36.520832,-2.458332,37.406044,20.186192
2022-06-09 21:00:00,36.520832,-2.458332,37.41305,20.154303
2022-06-09 22:00:00,36.520832,-2.458332,37.417957,20.112679
2022-06-09 23:00:00,36.520832,-2.458332,37.42103,20.064814
2022-06-10 00:00:00,36.520832,-2.458332,37.320362,20.25547
2022-06-10 01:00:00,36.520832,-2.458332,37.345818,20.240515
2022-06-10 02:00:00,36.520832,-2.458332,37.352768,20.220163
2022-06-10 03:00:00,36.520832,-2.458332,37.357597,20.204723
2022-06-10 04:00:00,36.520832,-2.458332,37.36237,20.188444
2022-06-10 05:00:00,36.520832,-2.458332,37.367226,20.169535
2022-06-10 06:00:00,36.520832,-2.458332,37.37194,20.15808
2022-06-10 07:00:00,36.520832,-2.458332,37.37651,20.162113
2022-06-10 08:00:00,36.520832,-2.458332,37.38136,20.185907
2022-06-10 09:00:00,36.520832,-2.458332,37.3866,20.23065
2022-06-10 10:00:00,36.520832,-2.458332,37.39201,20.289833
2022-06-10 11:00:00,36.520832,-2.458332,37.397232,20.360178
2022-06-10 12:00:00,36.520832,-2.458332,37.401817,20.438868
2022-06-10 13:00:00,36.520832,-2.458332,37.4053,20.517635
2022-06-10 14:00:00,36.520832,-2.458332,37.407436,20.58911
2022-06-10 15:00:00,36.520832,-2.458332,37.40798,20.646023
2022-06-10 16:00:00,36.520832,-2.458332,37.406742,20.683472
2022-06-10 17:00:00,36.520832,-2.458332,37.40416,20.711773
2022-06-10 18:00:00,36.520832,-2.458332,37.401447,20.732853
2022-06-10 19:00:00,36.520832,-2.458332,37.39955,20.734701
2022-06-10 20:00:00,36.520832,-2.458332,37.39887,20.715998
2022-06-10 21:00:00,36.520832,-2.458332,37.39931,20.678469
